Title,Country,Language
The Sixth Sense,United States,"English, Latin, Spanish"
Ran,"Japan, France",Japanese
Pan's Labyrinth,"Mexico, Spain",Spanish
Unforgiven,United States,English
No Country for Old Men,United States,"English, Spanish"
The Thing,"United States, Canada","English, Norwegian"
A Beautiful Mind,United States,English
Kill Bill: Vol. 1,"United States, China","English, Japanese, French"
The Treasure of the Sierra Madre,United States,"English, Spanish"
Yojimbo,Japan,Japanese
The Great Escape,United States,"English, German, French, Russian, Spanish"
Monty Python and the Holy Grail,United Kingdom,"English, French, Latin, Swedish"
Finding Nemo,"United States, Japan","English, Japanese, Russian"
Prisoners,United States,English
Howl's Moving Castle,"Japan, United States",Japanese
The Elephant Man,"United States, United Kingdom","English, French"
Rashomon,Japan,Japanese
Dial M for Murder,United States,English
Chinatown,United States,"English, Cantonese, Spanish"
Gone with the Wind,United States,English
The Secret in Their Eyes,"Argentina, Spain",Spanish
"Lock, Stock and Two Smoking Barrels","United Kingdom, United States",English
Inside Out,United States,"English, Portuguese, Latvian"
V for Vendetta,"United States, United Kingdom, Germany","English, French, Latin, Spanish"
"Three Billboards Outside Ebbing, Missouri","United Kingdom, United States",English
Raging Bull,United States,English
Trainspotting,"United Kingdom, United States",English
The Bridge on the River Kwai,"United Kingdom, United States","English, Japanese, Thai"
Klaus,"Spain, United Kingdom, United States, Austria, Canada, France","English, Saami"
Catch Me If You Can,"United States, Canada","English, French"
Fargo,"United Kingdom, United States",English
Warrior,United States,"English, Spanish"
Spider-Man: No Way Home,United States,English
Gran Torino,"Germany, United States","English, Hmong"
Harry Potter and the Deathly Hallows: Part 2,"United Kingdom, United States","English, Latin"
Million Dollar Baby,United States,"English, Irish Gaelic"
My Neighbor Totoro,Japan,Japanese
Mad Max: Fury Road,"Australia, United States","English, Russian"
Children of Heaven,Iran,Persian
Ben-Hur,United States,English
12 Years a Slave,"United Kingdom, United States",English
Before Sunrise,"Austria, United States","English, German, French"
Barry Lyndon,"United Kingdom, United States","English, German, French"
Blade Runner,"United States, United Kingdom","English, German, Cantonese, Japanese, Hungarian, Arabic, Korean"
The Grand Budapest Hotel,"United States, Germany","English, French, German"
Hacksaw Ridge,United States,"English, Japanese"
Gone Girl,United States,English
Dead Poets Society,United States,"English, Latin"
Maharaja,India,Tamil
Memories of Murder,South Korea,"Korean, English"
In the Name of the Father,"Ireland, United States",English
The Gold Rush,United States,"None, English"
"Monsters, Inc.",United States,English
Wild Tales,"Argentina, Spain, France, United Kingdom",Spanish
The Deer Hunter,United Kingdom,"English, Vietnamese, French, Russian, Cantonese"
The General,United States,None
Sherlock Jr.,United States,"None, English"
Jaws,United States,English
Ratatouille,United States,"English, French"
How to Train Your Dragon,"United States, France, United Kingdom",English
On the Waterfront,United States,"English, Latin"
Mary and Max,Australia,"English, Yiddish"
The Wages of Fear,"France, Italy","French, English, Spanish, German, Italian, Russian"
Wild Strawberries,Sweden,"Swedish, Latin"
Ford v Ferrari,United States,"English, Italian, French, Japanese"
The Third Man,"United Kingdom, United States","English, German, Russian, French"
Mr. Smith Goes to Washington,United States,English
Logan,United States,"English, Spanish"
Tokyo Story,Japan,"Japanese, English"
Rocky,United States,"English, Spanish, Italian"
The Big Lebowski,"United Kingdom, United States","English, German, Hebrew, Spanish"
The Seventh Seal,Sweden,"Swedish, Latin"
Room,"Ireland, Canada, United Kingdom, United States",English
Spotlight,United States,English
The Terminator,"United Kingdom, United States","English, Spanish"
Hotel Rwanda,"United Kingdom, Italy, South Africa, United States","English, French, Kinyarwanda"
Platoon,"United States, United Kingdom","English, Vietnamese"
La haine,France,"French, Yiddish"
Pirates of the Caribbean: The Curse of the Black Pearl,United States,English
Before Sunset,"France, United States","English, French"
The Passion of Joan of Arc,France,"None, French"
Jai Bhim,"India, United States",Tamil
The Best Years of Our Lives,United States,English
The Exorcist,United States,"English, Latin, Greek, French, German, Arabic, Kurdish"
Rush,"United Kingdom, United States","English, German, Italian, French, Japanese, Spanish"
The Incredibles,United States,"English, French, German, Italian, Portuguese, Russian"
The Wizard of Oz,United States,English
Network,United States,English
Stand by Me,United States,English
Hachi: A Dog's Tale,"United Kingdom, United States","English, Japanese"
The Sound of Music,United States,"English, German"
My Father and My Son,Turkey,Turkish
The Handmaiden,South Korea,"Korean, Japanese"
To Be or Not to Be,United States,"English, German, French"
Into the Wild,United States,"English, Danish"
The Battle of Algiers,"Italy, Algeria","Arabic, French, English, Spanish"
The Grapes of Wrath,United States,English
Groundhog Day,United States,"English, French, Italian"
The Iron Giant,"United States, Czech Republic, United Kingdom",English
Amores Perros,Mexico,Spanish
Rebecca,United States,"English, French"
The Help,"United States, India",English
Cool Hand Luke,United States,English
It Happened One Night,United States,English
"Paris, Texas","West Germany, France, United Kingdom","English, Spanish"
Autumn Sonata,"West Germany, United Kingdom","Swedish, English"
Andhadhun,India,"Hindi, English"
